Code,Name,Description,,,,,
1304,NMSC,TD. Interest Payout By BC.,,,,,
1305,NMSC,TD. Redemption Payout By BC.,,,,,
1306,NMSC,TD. Redemption Payout By DD.,,,,,
1307,NMSC,TD. Interest Payout By DD.,,,,,
1309,NMSC,Unclaimed Transfer,,,,,
1310,NMSC,Cair Tunai Dep/TD Redempt. Cash,,,,,
1311,NMSC,TD. Redemption Payout By BC.,,,,,
1312,NMSC,Cair Dep to CASA/TD Redem,,,,,
1313,NMSC,Cair Dep to LN/TD Redem,,,,,
1315,NMSC,Cair Dep to OGT/TD Redempt Trf,,,,,
1316,NMSC,TD. Post Maturity Renew,,,,,
1317,NMSC,Bg Dep/TD Int ,,,,,
1318,NMSC,Cair Dep to GL/TD Redempt GL.,,,,,
1320,NMSC,Tutup Rek/Closeout Funds Trf,,,,,
1321,NMSC,Tutup Rek/Closeout To GL,,,,,
1322,NMSC,Sweep Out To TD.,,,,,
1323,NMSC,SI. Xfer. To TD.,,,,,
1324,NMSC,Cair Dep/TD Redem,,,,,
1325,NMSC,Cair Dep/TD Redem,,,,,
1326,NMSC,Cair Dep/TD Redempt - Trf,,,,,
1327,NMSC,Cair Dep/TD. Redempt - GL,,,,,
1328,NMSC,Bg dep/TD Int Sav,,,,,
1330,NMSC,Bg dep/TD Int Trf,,,,,
1331,NMSC,Bg dep/TD Int GL,,,,,
1332,NMSC,TD. Redemption By DD.,,,,,
1333,NMSC,Cair dep/TD Redem,,,,,
1334,NMSC,Bg dep/TD Int.,,,,,
1335,NMSC,Cair dep/TD Redem,,,,,
1336,NMSC,Cair dep/TD Redem,,,,,
1337,NMSC,Bg dep/TD Int TD,,,,,
1338,NMSC,Cair dep/TD Redem,,,,,
1341,NMSC,TD. Batch Redemption By Cash,,,,,
1342,NMSC,TD. Batch Redemption By Cheque,,,,,
1343,NMSC,TD.Batch Redemption By Xfer. To CASA.,,,,,
1344,NMSC,TD. Batch Redemption By External Transfer,,,,,
1345,NMSC,TD. Batch Redemption By Transfer To LN.,,,,,
1346,NMSC,TD. Batch Redemption By DD.,,,,,
1347,NMSC,TD. Batch Redemption By Transfer To GL.,,,,,
1348,NMSC,TD. Redemption Payout To Payment GL.,,,,,
1349,NMSC,Bg dep/TD Int -Payment,,,,,
1350,NMSC,TD. Batch Redem. By Xfer. To TD. Account,,,,,
1351,NMSC,TD. Batch Redem. Payout By Xfer. To TD.,,,,,
1352,NMSC,Bg dep/TD Int TD,,,,,
1353,NMSC,Bg dep/TD Int TD,,,,,
1354,NMSC,Bg dep/TD Int. - Trf,,,,,
1355,NMSC,TD. Batch Redemption By Transfer To LN.,,,,,
1356,NMSC,Setor Deposito/TD. Gen. Payin,,,,,
1357,NMSC,Cair dep/TD Reinvest,,,,,
1358,NMSC,Cair dep/TD. Gen. Redempt,,,,,
1360,NMSC,BOD TD Premature Redemption,,,,,
1361,NMSC,TD. Pre Mat. Redemption Tax recover,,,,,
1402,NMSC,Setor Tunai Deposito/TD. Payin- Cash,,,,,
1403,NMSC,Byr angs/LN. Installment Payment,,,,,
1404,NMSC,LN. Partial Payoff By Cash,,,,,
1405,NMSC,LN. EFS. By Cash,,,,,
1406,NMSC,Cash Deposit Into Ext. A/C.,,,,,
1407,NMSC,LN. Advance Payment  By Cash,,,,,
1408,NMSC,Lain-2 Kredit/Misc Cust Cr,,,,,
1409,NMSC,Pembelian TC/TC Purchase ,,,,,
1410,NMSC,Byr angs/LN. Payment,,,,,
1411,NMSC,Future Dated Cash Deposit,,,,,
1412,NMSC,Excess Refund Xfer. To CASA.,,,,,
1413,NMSC,Cair Pinj/LN. Disbursement,,,,,
1414,NMSC,Disbursement To CASA. From BIRO.,,,,,
1415,NMSC,CASA. Credit CPS.,,,,,
1416,NMSC,CASA. Credit  TFC.,,,,,
1417,NMSC,LN. Rescission By Cash,,,,,
1418,NMSC,Rev LN. Installment Payment By Cash,,,,,
1419,NMSC,LN. Installment Payment By Cash,,,,,
1420,NMSC,RD. Installment Payment Inquiry,,,,,
1421,NMSC,RD. Installment Payment By Cash,,,,,
1425,NMSC,Application Processing For Payment,,,,,
1426,NMSC,RD. Late Payment Penalty Credit,,,,,
1427,NMSC,RD. Late Payment Penalty Debit,,,,,
1428,NMSC,RD Drawdown DEBIT,,,,,
1429,NMSC,Flexible RD deposit by Cash,,,,,
1430,NMSC,Backdated Refund to CASA,,,,,
1431,NMSC,Flexible RD Deposit By Casa,,,,,
1432,NMSC,Flexible RD Redemption By Cash,,,,,
1433,NMSC,Flexible RD Redemption By CASA Xfer,,,,,
1436,NMSC,LN. Advance Future Payment  By Cash,,,,,
1437,NMSC,Application Processing For Advance Payment,,,,,
1460,NMSC,GL. Miscellaneous Credit Against Cash,,,,,
1461,NMSC,Initial Deposit payment,,,,,
1462,NMSC,Amortization of Gift,,,,,
1463,NMSC,Penalty break Amortization,,,,,
1464,NMSC,Penalty for failed debit,,,,,
1511,NMSC,MICR. Header Entry,,,,,
1513,NMSC,Disbursement To CTPARTY.,,,,,
1613,NMSC,Insurance Premium Remittance to Counter Party,,,,,
1701,NMSC,Rent Payment By Cash,,,,,
1703,NMSC,Sweep In Debit,,,,,
1704,NMSC,Sweep In Credit,,,,,
1705,NMSC,TD. Sweep In Debit,,,,,
1706,NMSC,TD. Sweep In Credit,,,,,
1707,NMSC,LN. Sweep In Debit,,,,,
1708,NMSC,Cross Cost Center MSD,,,,,
1711,NMSC,Rent Payment By GL,,,,,
1721,NMSC,Closeout Withdrawal By BC,,,,,
1722,NMSC,Closeout Withdrawal By Cash,,,,,
1723,NMSC,Closeout Withdrawal By Xfer. To GL,,,,,
1724,NMSC,SB Closeout Withdrawal By Xfer. To ACH,,,,,
1802,NMSC,OBU CASA Account debit,,,,,
1803,NMSC,OBU CASA Account Credit,,,,,
1811,NMSC,OBU CASA Funds Xfer. Credit (OLTP.),,,,,
1905,NMSC,Cross Cost Center GLT,,,,,
2030,NMSC,Outgoing Payment Transaction(Initiation),,,,,
2031,NMSC,Outgoing Payment Transaction(Message),,,,,
2032,NMSC,SWIFT Outgoing Payment Message,,,,,
2037,NMSC,Payment Transaction5,,,,,
2038,NMSC,Payment Transaction6,,,,,
2039,NMSC,Payment Transaction7,,,,,
2043,NMSC,Payment Transaction8,,,,,
2049,NMSC,TEST SIT,,,,,
2050,NMSC,Reject of OP,,,,,
2051,NMSC,IDD,,,,,
2052,NMSC,Payment Transaction9,,,,,
2053,NMSC,Payment Transaction10,,,,,
2054,NMSC,Payment Transaction11,,,,,
2055,NMSC,Payment Transaction12,,,,,
2056,NMSC,Payment Transaction13,,,,,
2057,NMSC,Payment Transaction14,,,,,
2058,NMSC,Payment Transaction15,,,,,
2059,NMSC,Payment Transaction16,,,,,
2060,NMSC,Payment Transaction17,,,,,
2065,NMSC,Installment Payment By Ext Xfer.,,,,,
2102,NMSC,Byr angs/Drawdown Fr CASA,,,,,
2103,NMSC,LN. ASN. Principal Debit,,,,,
2201,NMSC,ATM. Cash Withdrawal.On Us,,,,,
2202,NMSC,ATM. Balance Inquiry.On Us,,,,,
2203,NMSC,ATM. Mini Stmt. Inquiry.On Us,,,,,
2204,NMSC,ATM. Funds Xfer. Debit.On Us,,,,,
2206,NMSC,ATM. Adhoc Stmt. Request.On Us,,,,,
2207,NMSC,ATM. Cheque Book Issue Request.On Us,,,,,
2208,NMSC,ATM. Payments Debit.On Us,,,,,
2213,NMSC,POS PURCHASE ON-US,,,,,
2214,NMSC,Pin Details,,,,,
2215,NMSC,Mail Alert,,,,,
2216,NMSC,Contract Content Inquiry,,,,,
2217,NMSC,beneficiary Registeration,,,,,
2218,NMSC,Au Linkage,,,,,
2219,NMSC,BENEFICIARY INQUIRY,,,,,
2220,NMSC,RCN Manangement,,,,,
2221,NMSC,CUSTOMER CONTRACT NO,,,,,
2229,NMSC,Credit Card Cash advance over ATM,,,,,
2230,NMSC,E-Cash Cash advance over ATM,,,,,
2231,NMSC,ATM. Revolving Loan Cash Withdrawal.On Us,,,,,
2232,NMSC,ATM.Revolving Loan.Balance Inquiry.On Us,,,,,
2234,NMSC,ATM. Funds Xfer.Loan Debit.On Us,,,,,
2235,NMSC,ATM. Funds Xfer. Loan Credit.On Us,,,,,
2252,NMSC,ATM. Loan Cash Deposit.On Us,,,,,
2258,NMSC,ATM Card  Info Update .On Us,,,,,
2268,NMSC,ATM. Balance Inquiry Remote Onus PRIMA,,,,,
2275,NMSC,POS. Normal Purchase. Debit On us,,,,,
2276,NMSC,POS. Merchandise Return. On us,,,,,
2278,NMSC,ATM. Cash Withdrawal.Settlement On Us,,,,,
2279,NMSC,POS. Normal Purchase.Settlement Debit On us,,,,,
2280,NMSC,ATM. Cash Withdrawal.Earmark On Us,,,,,
2281,NMSC,POS. Normal Purchase.Earmark Debit On us,,,,,
2282,NMSC,Bill Payment over IB,,,,,
2283,NMSC,ATM. Cash Withdrawal Remote Onus ALTO,,,,,
2284,NMSC,ATM. Cash Withdrawal Remote Onus CIRRUS,,,,,
2285,NMSC,ATM. Cash Withdrawal Remote Onus BERSAMA,,,,,
2286,NMSC,ATM. Balance Inquiry Remote Onus ALTO,,,,,
2287,NMSC,ATM. Balance Inquiry Remote Onus CIRRUS,,,,,
